Letter ID (there are some enteries without an ID in the text. Generally these are not letters, but are important documents that add context to the letters themselves. I will try to add what these documents are, if not letters)	Sender	Place sent	Date sent (MMDDYYYY)	Misc date	Reciever 			Comments	https://brbl-dl.library.yale.edu/vufind/Record/4120314
Unmarked 4	Samuel Pepys	Whitehall	12/10/1688		All sailors				
338	Phillip Frowd	London	12/11/1688		Lord Dartmouth				
339	Unknown	London 	12/11/1688		Lord Dartmouth (from another unknown source)				
Unmarked 5	Various lords of England		12/11/1688		Lord Dartmouth				
340	Samuel Pepys		12/11/1688		Lord Dartmouth				
341	Phillip Musgrave (administrator)		12/12/1688		Lord Dartmouth				
342	Lord Dartmouth	Spitthead	12/12/1688		Prince of Orange				
343	Lord Dartmouth	Spitthead	12/12/1688		Samuel Pepys				
344	Sir Richard Beach	Portsmouth Dockyard	12/12/1688		Lord Dartmouth				
345	Earl of Feversham (Louis de Duras)	London	12/13/1688		Lord Dartmouth				
345(a)	King James II 	Whitehall	12/10/1688		Earl of Feversham				
345(b)	Earl of Feversham	N[ew?]bridge	12/11/1688		Prince of Orange				
346	Earl of Rochester		12/13/1688	Thursday	Lord Dartmouth				
347	Lord Dartmouth	Spitthead	12/14/1688		The lords at Guild Hall				
348	Phillip Musgrave (administrator)	London	12/15/1688		Lord Dartmouth				
349	Lord Dartmouth	Spitthead	12/15/1688		Earl of Feversham				
350	Lord Dartmouth	Spitthead	12/15/1688		Lord Rochester				
351	Prince of Orange	Windsor	12/16/1688		Lord Dartmouth				
Unmarked 6 (orders from Prince of Orange to Lord Dartmouth)	Prince of Orange	Windsor	12/16/1688		Lord Dartmouth				
352	Lord Dartmouth 	Spitthead	12/16/1688		Duke of Berwick				
353	Lord Dartmouth	Spitthead	12/17/1688		Duke of Berwick				
Unmarked 7	Duke of Berwick		12/17/1688		Prince of Orange				
354	Lord Dartmouth	Spitthead	12/17/1688		King James II				
355	Sir Henry Shore	Whitehall	12/17/1688		Lord Dartmouth				
356	Captain Aylmer		12/17/1688		Lord Dartmouth				
357	Lord Dartmouth	Spitthead	12/18/1688		Col. Richard Norton				
358	Mr. Gardiner	London	12/18/1688		Lord Dartmouth				
359	Duke of Berwick	Portsmouth	12/19/1688		Lord Dartmouth				
360	Lord Dartmouth	Spitthead	12/20/1688		Prince of Orange				
361	Duke of Berwick	Portsmouth	12/20/1688		Lord Dartmouth				
362	Unknown	London 	12/20/1688		Lord Dartmouth				
363	King James II	Rochester 	12/21/1688		Lord Dartmouth				
364	Phineas Bowles 	London	12/28/1688		Lord Dartmouth				
365	Phineas Bowles 	London	12/29/1688		Lord Dartmouth				
Unmarked 8	Prince of Orange	St. James's	12/29/1688		Lord Dartmouth				
366	Phillip Musgrave (administrator)	London	12/30/1688		Lord Dartmouth				
367	Phineas Bowles	Cochpilt (?)	12/31/1688		Lord Dartmouth				
Unmarked 9 (orders to Lord Dartmouth)	Prince of Orange	St. James's	1/2/1689		Lord Dartmouth				
368	Samuel Pepys		1/2/1689		Lord Dartmouth				
Unmarked 10 (orders to Lord Dartmouth)	Prince of Orange	St. James's	1/3/1689		Lord Dartmouth				
369	Phillip Frowd	London	1/3/1689		Lord Dartmouth				
370	Phineas Bowles	London	1/3/1689		Lord Dartmouth				
Unmarked 11 (orders to Lord Dartmouth)	Prince of Orange	St. James's	1/5/1689		Lord Dartmouth				
371	Samuel Pepys		1/8/1689		Lord Dartmouth				
Unmarked 12 (orders to Lord Dartmouth)	Prince of Orange	St. James's	1/10/1689		Lord Dartmouth				
372	King James II	St. Germain's	1/19/1689		Lord Dartmouth				
373	Captain Peter Shakerley	Chester Castle	1/28/1689		The Office of the Ordnance				
AFTER THIS POINT ARE LETTERS SENT TO AND BY LORD DARTMOUTH DURING HIS CONFINMENT AT THE TOWER (p. 242 in PDF)									
